,School Name,School District,Street Address,Grades Served,Overall Rating
0,21st Century Early Learning Foundations Academy,Weslaco ISD,"400 S Oklahoma Ave, Weslaco, TX 78596",Prekindergarten,B
1,A & M Cons HS,College Station ISD,"1801 Harvey Mitchell Pkwy S, College Station, TX 77840",Grade 9 - Grade 12,B
2,A & M Consolidated MS,College Station ISD,"105 Holik Dr, College Station, TX 77840",Grade 7 - Grade 8,B
3,A B Duncan Collegiate Elem,Floydada Collegiate ISD,"1101 S 8th St, Floydada, TX 79235",Early Education - Grade 5,B
4,A B Mcbay Elem,Mexia ISD,"1000 N Ross, Mexia, TX 76667",Early Education - Grade 2,C
5,A C Blunt MS,Aransas Pass ISD,"2103 Demory Ln, Aransas Pass, TX 78336",Grade 6 - Grade 8,C
6,A C Jones HS,Beeville ISD,"1902 N Adams, Beeville, TX 78102",Grade 9 - Grade 12,B
7,A E Butler Int,Quinlan ISD,"410 Clardy Dr, Quinlan, TX 75474",Grade 3 - Grade 5,B
8,A G Elder Elem,Joshua ISD,"513 Henderson St, Joshua, TX 76058",Early Education - Grade 5,A
9,A Leal Jr MS,Harlandale ISD,"743 W Southcross Blvd, San Antonio, TX 78211",Grade 6 - Grade 8,C
10,A M Ochoa Elem,Donna ISD,"424 S 11th St, Donna, TX 78537",Prekindergarten - Grade 5,B
11,A M Pate Elem,Fort Worth ISD,"3800 Anglin Dr, Fort Worth, TX 76119",Prekindergarten - Grade 5,B
12,A N Rico Elem,Weslaco ISD,"2202 N International Blvd, Weslaco, TX 78596",Prekindergarten - Grade 5,B
13,A P Beutel Elem,Brazosport ISD,"300 Ligustrum St, Lake Jackson, TX 77566",Kindergarten - Grade 4,A
14,A P Solis MS,Donna ISD,"700 S Ave, Donna, TX 78537",Grade 6 - Grade 8,A
15,A V Cato Elem,Castleberry ISD,"4501 Barbara Rd, Fort Worth, TX 76114",Prekindergarten - Grade 5,B
16,A+ Academy Elem,A+ Academy,"10327 Rylie Rd, Dallas, TX 75217",Prekindergarten - Grade 6,C
17,A+ Secondary School,A+ Academy,"445 S Masters Dr, Dallas, TX 75217",Grade 7 - Grade 12,C
18,A+ Unlimited Potential - University,A+ Unlimited Potential,"2410 Hamilton, Houston, TX 77004",Grade 6 - Grade 8,B
19,AD Wheat MS,Cleburne ISD,"1020 Woodard Ave, Cleburne, TX 76033",Grade 6 - Grade 8,C
20,AEP,Magnolia ISD,"110 S Magnolia Blvd, Magnolia, TX 77355",Grade 9,Not Rated
21,Aaron Parker Elem,North Lamar ISD,"98 CR 44112, Powderly, TX 75473",Prekindergarten - Grade 4,Not Rated
22,Ab Harrison Int,Wylie ISD,"1001 S Ballard, Wylie, TX 75098",Grade 5 - Grade 6,A
23,Abbett Elem,Garland ISD,"730 W Muirfield Rd, Garland, TX 75044",Kindergarten - Grade 5,B
24,Abbott School,Abbott ISD,"219 S First St, Abbott, TX 76621",Prekindergarten - Grade 12,A
25,Abell JH,Midland ISD,"3201 Heritage Blvd, Midland, TX 79707",Grade 7 - Grade 8,C
26,Abernathy DAEP,Abernathy ISD,"1200 Houston, Plainview, TX 79072",Grade 8,Not Rated
27,Abernathy Elem,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Early Education - Grade 5,B
28,Abernathy HS,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Grade 9 - Grade 12,B
29,Abernathy MS,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Grade 6 - Grade 8,B
30,Abilene HS,Abilene ISD,"2800 N 6th St, Abilene, TX 79603",Grade 9 - Grade 12,B
31,About Face Program Elem,El Paso ISD,"1440 E Cliff, El Paso, TX 79904",Grade 3 - Grade 5,Not Rated
32,Abraham Kazen MS,South San Antonio ISD,"1520 Gillette Blvd, San Antonio, TX 78224",Grade 6 - Grade 8,Not Rated
33,Academy Early Childhood Center,Academy ISD,"311 N Bumblebee Dr, Little River, TX 76554",Prekindergarten - Grade 2,B
34,Academy Elem,Academy ISD,"107 S Pondalily, Little River, TX 76554",Grade 3 - Grade 5,B
35,Academy HS,Academy ISD,"602 E Main St, Little River, TX 76554",Grade 9 - Grade 12,B
36,Academy HS,Plano ISD,"1701 Alma Rd, Plano, TX 75075",Grade 9 - Grade 12,A
37,Academy JH,Academy ISD,"501 E Main St, Little River, TX 76554",Grade 6 - Grade 8,B
38,Academy at Carrie F Thomas,Birdville ISD,"8200 O'brian Way, North Richland Hills, TX 76180",Prekindergarten - Grade 5,B
39,Academy at Nola Dunn,Burleson ISD,"201 S Dobson St, Burleson, TX 76028",Kindergarten - Grade 5,B
40,Academy for Technology Engineering Math & Science,Abilene ISD,"2034 Quantum Loop, Abilene, TX 79602",Grade 9 - Grade 12,A
41,Academy of Accelerated Learning,Academy of Accelerated Learning Inc,"6711 Bellfort St, Houston, TX 77087",Grade 1 - Grade 5,Not Rated
42,Academy of Creative Ed,North East ISD,"3736 Perrin Central Bldg2, San Antonio, TX 78217",Grade 11 - Grade 12,B
43,Academy of Dallas,Academy of Dallas,"2324 S Vernon Ave, Dallas, TX 75224",Prekindergarten - Grade 8,C
44,Accelerated Int Charter School,Accelerated Intermediate Academy,"12825 Summit Rdg Dr, Houston, TX 77085",Grade 7,A
45,Accelerated Interdisciplinary Acad,Accelerated Intermediate Academy,"12825 Summit Rdg Dr, Houston, TX 77085",Prekindergarten - Grade 6,B
46,Achieve Academy,Wylie ISD,"300 Pirate Dr, Wylie, TX 75098",Grade 3 - Grade 12,A
47,Achieve Early College HS,McAllen ISD,"1601 N 27th St, McAllen, TX 78501",Grade 9 - Grade 12,A
48,Achziger Elem,Mesquite ISD,"3300 Ridgeranch Rd, Mesquite, TX 75181",Early Education - Grade 5,B
49,Acton Elem,Granbury ISD,"3200 Acton Rd, Granbury, TX 76049",Kindergarten - Grade 5,A
50,Acton MS,Granbury ISD,"1300 James Rd, Granbury, TX 76048",Grade 6 - Grade 8,B
51,Ada Mae Faubion Elem,Leander ISD,"1209 Cypress Creek Rd, Cedar Park, TX 78613",Early Education - Grade 5,C
52,Adam Elem,Cypress-Fairbanks ISD,"11303 Honeygrove Ln, Houston, TX 77065",Early Education - Grade 5,B
53,Adams Elem,Cleburne ISD,"1492 Is Grove Rd, Cleburne, TX 76031",Prekindergarten - Grade 5,C
54,Adams Elem,Arlington ISD,"2220 Sherry St, Arlington, TX 76010",Early Education - Grade 6,C
55,Adams Hill Elem,Northside ISD,"9627 Adams Hill Dr, San Antonio, TX 78245",Prekindergarten - Grade 5,B
56,Adams JH,Katy ISD,"4141 Cross Creek Bend Ln, Fulshear, TX 77441",Grade 6 - Grade 8,A
57,Adams MS,Alice ISD,"901 E Third St, Alice, TX 78332",Grade 6 - Grade 8,C
58,Adelfa Botello Callejo Elem,Dallas ISD,"7817 Military Pkwy, Dallas, TX 75227",Prekindergarten - Grade 5,B
59,Adelle Turner Elem,Dallas ISD,"5505 S Polk St, Dallas, TX 75232",Prekindergarten - Grade 5,B
60,Adkins MS,Corpus Christi ISD,"2402 Ennis Joslin Rd, Corpus Christi, TX 78414",Grade 6 - Grade 8,C
61,Adrian School,Adrian ISD,"301 Matador Dr, Adrian, TX 79001",Prekindergarten - Grade 12,B
62,Adult Transition Services,Eanes ISD,"1020 Walsh Tarleton, Austin, TX 78746",Grade 12,Not Rated
63,Advanced Learning Academy,San Antonio ISD,"621 W Euclid, San Antonio, TX 78212",Prekindergarten - Grade 12,B
64,Advantage Academy,Advantage Academy,"955 Freetown Rd, Grand Prairie, TX 75051",Prekindergarten - Grade 12,Not Rated
65,Adventhealth School,Killeen ISD,"2201 S Clear Creek Rd, Killeen, TX 76549",Grade 1 - Grade 12,Not Rated
66,Agnes Cotton Academy,San Antonio ISD,"1616 Blanco Rd, San Antonio, TX 78212",Prekindergarten - Grade 8,A
67,Agnew MS,Mesquite ISD,"729 Wilkinson Dr, Mesquite, TX 75149",Grade 6 - Grade 8,B
68,Agua Dulce Elem,Agua Dulce ISD,"1 Longhorn Dr, Agua Dulce, TX 78330",Prekindergarten - Grade 5,B
69,Agua Dulce HS,Agua Dulce ISD,"1 Longhorn Dr, Agua Dulce, TX 78330",Grade 6 - Grade 12,B
70,Aguirre JH,Channelview ISD,"15726 Wallisville Rd, Houston, TX 77049",Grade 6 - Grade 8,C
71,Aida C Escobar Elem,Pharr-San Juan-Alamo ISD,"901 W Kelly St, Pharr, TX 78577",Prekindergarten - Grade 5,A
72,Aiken Elem,Brownsville ISD,"6290 Southmost Rd, Brownsville, TX 78521",Prekindergarten - Grade 5,B
73,Aikin Elem,Richardson ISD,"12300 Pleasant Vly Dr, Dallas, TX 75243",Prekindergarten - Grade 6,C
74,Aikin Elem,Paris ISD,"3100 Pine Mill Rd, Paris, TX 75460",Kindergarten - Grade 4,C
75,Aikman Elem,Hereford ISD,"900 Ave K, Hereford, TX 79045",Kindergarten - Grade 5,A
76,Aim College & Career Prep,Galveston ISD,"5200 Ave N 1/2, Galveston, TX 77550",Grade 6 - Grade 12,B
77,Airport Elem,Weslaco ISD,"410 N Airport Dr, Weslaco, TX 78596",Prekindergarten - Grade 5,A
78,Akin Elem,Hale Center ISD,"N Ave K, Hale Center, TX 79041",Prekindergarten - Grade 4,Not Rated
79,Akins HS,Austin ISD,"10701 S 1st St, Austin, TX 78748",Grade 9 - Grade 12,B
80,Alamo Elem,Goose Creek CISD,"6100 N Main, Baytown, TX 77521",Prekindergarten - Grade 5,B
81,Alamo Heights HS,Alamo Heights ISD,"6900 Broadway St, San Antonio, TX 78209",Grade 9 - Grade 12,B
82,Alamo Heights JH,Alamo Heights ISD,"7607 N New Braunfels Ave, San Antonio, TX 78209",Grade 6 - Grade 8,B
83,Alamo JH,Midland ISD,"3800 W Storey Ave, Midland, TX 79703",Grade 7 - Grade 8,C
84,Alamo MS,Pharr-San Juan-Alamo ISD,"1819 W Hwy 83, Alamo, TX 78516",Grade 6 - Grade 8,C
85,Alan B Shepard MS,South San Antonio ISD,"5558 Ray Ellison Dr, San Antonio, TX 78242",Grade 6 - Grade 8,Not Rated
86,Alba-Golden Elem,Alba-Golden ISD,"1373 CR 2377, Alba, TX 75410",Early Education - Grade 5,C
87,Alba-Golden HS,Alba-Golden ISD,"1373 CR 2377, Alba, TX 75410",Grade 6 - Grade 12,B
88,Albany Jr-Sr HS,Albany ISD,"501 E S First St, Albany, TX 76430",Grade 7 - Grade 12,B
89,Albert & Iola Lee Davis Malvern Elem,McKinney ISD,"1100 Eldorado Pkwy, McKinney, TX 75069",Kindergarten - Grade 5,B
90,Albert C Williams Elem,Commerce ISD,"615 Culver, Commerce, TX 75428",Grade 3 - Grade 5,C
91,Alberto and Celia Barrera Elem,Rio Grande City Grulla ISD,"1400 N Lopez St, Rio Grande City, TX 78582",Prekindergarten - Grade 5,C
92,Albright MS,Alief ISD,"6315 Winkleman, Houston, TX 77083",Grade 7 - Grade 8,A
93,Alcorta Elem,Abilene ISD,"2650 S 32nd St, Abilene, TX 79605",Kindergarten - Grade 5,Not Rated
94,Alcott Elem,Houston ISD,"5859 Bellfort, Houston, TX 77033",Prekindergarten - Grade 5,B
95,Alderson Elem,Lubbock ISD,"219 Walnut Ave, Lubbock, TX 79403",Prekindergarten - Grade 5,C
96,Aldine HS,Aldine ISD,"11101 Airline Dr, Houston, TX 77037",Grade 9 - Grade 12,C
97,Aldine MS,Aldine ISD,"14908 Aldine-Westfield Rd, Houston, TX 77032",Grade 6 - Grade 8,Not Rated
98,Aldridge Elem,Plano ISD,"720 Pleasant Valley Ln, Richardson, TX 75080",Kindergarten - Grade 5,A
99,Aledo HS,Aledo ISD,"1000 Bailey Ranch Rd, Aledo, TX 76008",Grade 9 - Grade 12,A
100,Aledo MS,Aledo ISD,"416 FM 1187 S, Aledo, TX 76008",Grade 7 - Grade 8,B
101,Alex Sanger Preparatory School,Dallas ISD,"8410 San Leandro Dr, Dallas, TX 75218",Prekindergarten - Grade 8,B
102,Alex W Spence Talented/Gifted Academy,Dallas ISD,"4001 Capitol Ave, Dallas, TX 75204",Grade 6 - Grade 8,B
103,Alexander Elem,Alief ISD,"8500 Brookwulf, Houston, TX 77099",Early Education - Grade 4,B
104,Alexander MS,Pearland ISD,"3001 Old Alvin Rd, Pearland, TX 77581",Grade 5 - Grade 6,A
105,Alfonso Borrego Sr Elem,San Elizario ISD,"13300 Chicken Ranch Rd, San Elizario, TX 79849",Grade 3 - Grade 6,B
106,Alfonso Ramirez Elem,Edinburg CISD,"1700 W Alberta Rd, Edinburg, TX 78539",Prekindergarten - Grade 5,A
107,Alfred Sorensen Elem,Pharr-San Juan-Alamo ISD,"701 E Sam Houston, San Juan, TX 78589",Prekindergarten - Grade 5,A
108,Alice Carlson Applied Lrn Ctr,Fort Worth ISD,"3320 W Cantey St, Fort Worth, TX 76109",Kindergarten - Grade 5,B
109,Alice D Contreras,Fort Worth ISD,"4100 Lubbock Ave, Fort Worth, TX 76115",Prekindergarten - Grade 5,A
110,Alice HS,Alice ISD,"# 1 Coyote Trl, Alice, TX 78332",Grade 9 - Grade 12,Not Rated
111,Alice Johnson JH,Channelview ISD,"15500 Proctor, Channelview, TX 77530",Grade 6 - Grade 8,Not Rated
112,Alice Moore Alexander,Denton ISD,"800 Mack Pl, Denton, TX 76209",Prekindergarten - Grade 5,Not Rated
113,Alice Ponder Elem,Mansfield ISD,"101 Pleasant Ridge Dr, Mansfield, TX 76063",Early Education - Grade 4,C
114,Alice W Douse Elem,Killeen ISD,"700 Rebecca Lynn Ln, Killeen, TX 76542",Prekindergarten - Grade 5,B
115,Alicia R Chacon International,Ysleta ISD,"920 Burgundy Dr, El Paso, TX 79907",Kindergarten - Grade 8,A
116,Alief Early College HS,Alief ISD,"2811 A Hayes Rd, Houston, TX 77082",Grade 9 - Grade 12,A
117,Alief ISD JJAEP,Alief ISD,"2525 Murworth, Houston, TX 77054",Grade 7 - Grade 10,Not Rated
118,Alief Learning Ctr (6-12),Alief ISD,"4427 Belle Park, Houston, TX 77072",Grade 7 - Grade 12,Not Rated
119,Alief Learning Ctr (K-6),Alief ISD,"4427 Belle Park, Houston, TX 77072",Grade 1 - Grade 6,Not Rated
120,Alief MS,Alief ISD,"4415 Cook Rd, Houston, TX 77072",Grade 6 - Grade 8,C
121,Alief Montessori Community School,Alief Montessori Community School,"12013 6th St, Houston, TX 77072",Prekindergarten - Grade 8,B
122,Alkek Elem,Bandera ISD,"1798 Hwy 173 S, Bandera, TX 78003",Early Education - Grade 5,Not Rated
123,Allen & William Arnold Elem,Pharr-San Juan-Alamo ISD,"615 W El Dora Rd, Pharr, TX 78577",Prekindergarten - Grade 5,A
124,Allen Elem,Northside ISD,"101 Dumont Dr, San Antonio, TX 78227",Early Education - Grade 5,B
125,Allen Elem,Frisco ISD,"5800 Legacy Dr, Frisco, TX 75034",Kindergarten - Grade 5,A
126,Allen Elem,Corpus Christi ISD,"1414 18th St, Corpus Christi, TX 78404",Prekindergarten - Grade 5,B
127,Allen HS,Allen ISD,"300 Rivercrest Blvd, Allen, TX 75002",Grade 9 - Grade 12,A
128,Alliene Mullendore Elem,Birdville ISD,"4100 Flory St, North Richland Hills, TX 76180",Early Education - Grade 5,B
129,Allison Elem,Austin ISD,"515 Vargas Rd, Austin, TX 78741",Prekindergarten - Grade 5,B
130,Allison L Steele E L C,Schertz-Cibolo-U City ISD,"204 Wright Ave, Schertz, TX 78154",Grade 10 - Grade 12,Not Rated
131,Alma Brewer Strawn Elem,Lockhart ISD,"9000 FM 1854, Dale, TX 78616",Kindergarten - Grade 5,B
132,Alma Martinez Int,Mansfield ISD,"2001 Julian Feild St, Mansfield, TX 76063",Grade 5 - Grade 6,B
133,Almeda Elem,Houston ISD,"14249 Bridgeport Rd, Houston, TX 77047",Early Education - Grade 5,B
134,Aloe Elem,Victoria ISD,"62 Chaparral, Victoria, TX 77901",Prekindergarten - Grade 5,C
135,Alonso S Perales Elem,Edgewood ISD,"1507 Ceralvo St, San Antonio, TX 78237",Prekindergarten - Grade 5,B
136,Alpha,Magnolia ISD,"919 Cloyd St, Magnolia, TX 77355",Grade 10 - Grade 12,A
137,Alpine Elem,Alpine ISD,"200 E Ave A, Alpine, TX 79830",Prekindergarten - Grade 4,Not Rated
138,Alpine HS,Alpine ISD,"300 E Hendryx, Alpine, TX 79830",Grade 9 - Grade 12,A
139,Alpine MS,Alpine ISD,"801 Middle School Dr, Alpine, TX 79830",Grade 5 - Grade 8,B
140,Alta Loma Elem,San Angelo ISD,"1700 N Garfield St, San Angelo, TX 76901",Early Education - Grade 5,Not Rated
141,Alta Vista Elem,Waco ISD,"3637 Alta Vista Dr, Waco, TX 76706",Prekindergarten - Grade 5,C
142,Alter Discipline Campus,Eagle Mt-Saginaw ISD,"5901 Hereford Dr, Fort Worth, TX 76179",Grade 6 - Grade 12,Not Rated
143,Alter Ed Ctr,Ector County ISD,"1299 A Yukon, Odessa, TX 79762",Grade 6 - Grade 12,Not Rated
144,Alter Ed Prog,Hurst-Euless-Bedford ISD,"3115 W Pipeline Rd, Euless, TX 76040",Grade 4 - Grade 6,Not Rated
145,Alter HS,North East ISD,"103 W Rampart, San Antonio, TX 78216",Grade 9 - Grade 12,Not Rated
146,Alter Impact Ctr,Hays CISD,"4125b FM 967, Buda, TX 78610",Grade 5 - Grade 12,Not Rated
147,Alter Learning Ctr,Keene ISD,"404 Charger Dr, Keene, TX 76059",Grade 11 - Grade 12,Not Rated
148,Alter MS,North East ISD,"103 W Rampart, San Antonio, TX 78216",Grade 6 - Grade 8,Not Rated
149,Alter Sch,Port Neches-Groves ISD,"1810 Port Neches Ave, Port Neches, TX 77651",Grade 9 - Grade 10,Not Rated
150,Alter School,Alba-Golden ISD,"1373 CR 2377, Alba, TX 75410",Grade 9 - Grade 11,Not Rated
151,Alternative Center,Edgewood ISD,"607 SW 34th St, San Antonio, TX 78237",Grade 8 - Grade 11,Not Rated
152,Alternative Elem,North East ISD,"6523 Cascade, San Antonio, TX 78218",Grade 2 - Grade 5,Not Rated
153,Alternative Elem,Northside ISD,"6839 Babcock Rd, San Antonio, TX 78249",Grade 1 - Grade 5,Not Rated
154,Alternative HS,Northside ISD,"144 Hunt Ln, San Antonio, TX 78245",Grade 9 - Grade 12,Not Rated
155,Alternative Learning Center,Lamar CISD,"1708 Ave M, Rosenberg, TX 77471",Grade 4 - Grade 12,Not Rated
156,Alternative Learning Center,Austin ISD,"4900 Gonzales St, Austin, TX 78702",Grade 6 - Grade 12,Not Rated
157,Alternative MS,Northside ISD,"11937 Ih 10 W, San Antonio, TX 78230",Grade 6 - Grade 8,Not Rated
158,Alternative School,Barbers Hill ISD,"9600 Eagle Dr, Mont Belvieu, TX 77580",Grade 6 - Grade 12,Not Rated
159,Alternative School,Stockdale ISD,"335 Alternative Ln, Floresville, TX 78114",Grade 9 - Grade 10,Not Rated
160,Alto Bonito Elem,Rio Grande City Grulla ISD,"753 FM 2360, Rio Grande City, TX 78582",Prekindergarten - Grade 5,B
161,Alto Elem,Alto ISD,"236 CR 2429, Alto, TX 75925",Prekindergarten - Grade 4,A
162,Alto HS,Alto ISD,"248 CR 2429, Alto, TX 75925",Grade 9 - Grade 12,B
163,Alto MS,Alto ISD,"240 CR 2429, Alto, TX 75925",Grade 5 - Grade 8,B
164,Alton Bowen Elem,Bryan ISD,"3870 Copperfield Dr, Bryan, TX 77802",Early Education - Grade 4,C
165,Alton Boyd Elem,Allen ISD,"800 Jupiter Rd, Allen, TX 75002",Kindergarten - Grade 6,C
166,Alton Elem,Mission CISD,"205 N Chicago, Alton, TX 78573",Prekindergarten - Grade 5,B
167,Alton Elem,Brenham ISD,"1210 S Market St, Brenham, TX 77833",Kindergarten - Grade 4,C
168,Alton Memorial JH,Mission CISD,"521 S Los Ebanos Blvd, Alton, TX 78573",Grade 6 - Grade 8,B
169,Alvarado Elem-North,Alvarado ISD,"1500 N Cummings, Alvarado, TX 76009",Early Education - Grade 2,Not Rated
170,Alvarado Elem-South,Alvarado ISD,"1000 E Davis, Alvarado, TX 76009",Prekindergarten - Grade 2,Not Rated
171,Alvarado HS,Alvarado ISD,"1301 S Pkwy, Alvarado, TX 76009",Grade 9 - Grade 12,C
172,Alvarado Int,Alvarado ISD,"1401 E Davis, Alvarado, TX 76009",Grade 3 - Grade 5,Not Rated
173,Alvarado JH,Alvarado ISD,"1000 N Cummings, Alvarado, TX 76009",Grade 6 - Grade 8,C
174,Alvarez Elem,McAllen ISD,"2606 Gumwood Ave, McAllen, TX 78501",Prekindergarten - Grade 5,B
175,Alvin Elem,Alvin ISD,"2200 Westpark Dr, Alvin, TX 77511",Early Education - Grade 5,C
176,Alvin HS,Alvin ISD,"802 S Johnson St, Alvin, TX 77511",Grade 9 - Grade 12,B
177,Alvin JH,Alvin ISD,"2300 W S St, Alvin, TX 77511",Grade 6 - Grade 8,C
178,Alvin V Anderson Rise Academy,Tyler ISD,"2800 W Shaw St, Tyler, TX 75701",Grade 9 - Grade 12,A
179,Alvis C Story Elem,Allen ISD,"1550 Edelweiss Dr, Allen, TX 75002",Kindergarten - Grade 6,C
180,Alvord Elem,Alvord ISD,"711 W Stadium Dr, Alvord, TX 76225",Early Education - Grade 5,B
181,Alvord HS,Alvord ISD,"1049 W Bypass 287, Alvord, TX 76225",Grade 9 - Grade 12,C
182,Alvord MS,Alvord ISD,"328 FM 1655, Alvord, TX 76225",Grade 6 - Grade 8,B
183,Amador R Rodriguez Juvenile Boot Camp,San Benito CISD,"2300 W Bus Hwy 77, San Benito, TX 78586",Grade 8 - Grade 10,Not Rated
184,Amanda Garza-Pena Elem,Pharr-San Juan-Alamo ISD,"500 E FM 495, San Juan, TX 78589",Prekindergarten - Grade 5,B
185,Amanda Rochell Elem,Rockwall ISD,"899 Rochell Ct, Rockwall, TX 75032",Prekindergarten - Grade 6,C
186,Amarillo Collegiate Academy,Texas College Preparatory Academies,"6000 S Georgia, Amarillo, TX 79119",Kindergarten - Grade 12,B
187,Amarillo HS,Amarillo ISD,"4225 Danbury, Amarillo, TX 79109",Grade 9 - Grade 12,B
188,Ambassadors Preparatory Academy,Ambassadors Preparatory Academy,"5001 Ave U, Galveston, TX 77551",Prekindergarten - Grade 8,A
189,Amelia Elem,Beaumont ISD,"565 S Major Dr, Beaumont, TX 77707",Early Education - Grade 5,B
190,Americas HS,Socorro ISD,"12101 Pellicano, El Paso, TX 79936",Grade 9 - Grade 12,B
191,Amherst School,Amherst ISD,"101 N Main St, Amherst, TX 79312",Prekindergarten - Grade 12,B
192,Amigos Por Vida-Friends for Life Charter School,Amigos Por Vida-Friends for Life Pub Chtr Sch,"5503 El Camino Del Rey, Houston, TX 77081",Prekindergarten - Grade 8,A
193,Amos Elem,Arlington ISD,"3100 Daniel Dr, Arlington, TX 76014",Prekindergarten - Grade 6,C
194,Amparo Gutierrez Elem,United ISD,"505 Calle Del Norte, Laredo, TX 78041",Early Education - Grade 5,A
195,Amtech Career Academy,Amarillo ISD,"3601 Plains Blvd, Amarillo, TX 79102",Grade 10 - Grade 12,Not Rated
196,Amy Parks-Heath Elem,Rockwall ISD,"330 Laurence Dr, Heath, TX 75032",Kindergarten - Grade 6,A
197,Anahuac Elem,Anahuac ISD,"906 Ross Sterling, Anahuac, TX 77514",Early Education - Grade 5,B
198,Anahuac HS,Anahuac ISD,"201 Kansas, Anahuac, TX 77514",Grade 9 - Grade 12,B
199,Anahuac MS,Anahuac ISD,"706 Mikhael Ricks Dr, Anahuac, TX 77514",Grade 6 - Grade 8,B
200,Anderson Academy,Aldine ISD,"7401 Wheatley St, Houston, TX 77088",Grade 1 - Grade 4,B
201,Anderson Elem,Lufkin ISD,"381 Champion Dr, Lufkin, TX 75901",Grade 3 - Grade 5,A
202,Anderson Elem,Frisco ISD,"2800 Oakland Hills Dr, Plano, TX 75025",Kindergarten - Grade 5,A
203,Anderson Elem,Houston ISD,"5727 Ludington Dr, Houston, TX 77035",Early Education - Grade 5,A
204,Anderson Elem,Spring ISD,"6218 Lynngate Dr, Spring, TX 77373",Early Education - Grade 5,A
205,Anderson Elem,Conroe ISD,"1414 E Dallas, Conroe, TX 77301",Early Education - Grade 4,B
206,Anderson Elem,Arlington ISD,"1101 Timberlake Dr, Arlington, TX 76010",Early Education - Grade 6,B
207,Anderson HS,Austin ISD,"8403 Mesa Dr, Austin, TX 78759",Grade 9 - Grade 12,A
208,Anderson Mill Elem,Round Rock ISD,"10610 Salt Mill Hollow, Austin, TX 78750",Prekindergarten - Grade 5,C
209,Anderson-Shiro Elem,Anderson-Shiro CISD,"458 FM 149 W, Anderson, TX 77830",Prekindergarten - Grade 5,A
210,Anderson-Shiro Jr/Sr HS,Anderson-Shiro CISD,"1345 FM 149 W, Anderson, TX 77830",Grade 6 - Grade 12,A
211,Andre Elem,Cypress-Fairbanks ISD,"8111 Fry Rd, Cypress, TX 77433",Early Education - Grade 5,B
212,Andress HS,El Paso ISD,"5400 Sun Valley Dr, El Paso, TX 79924",Grade 9 - Grade 12,B
213,Andrew Jackson MS,Grand Prairie ISD,"3504 Corn Valley Rd, Grand Prairie, TX 75052",Grade 6 - Grade 8,C
214,Andrews Education Center,Andrews ISD,"405 N W 3rd St, Andrews, TX 79714",Grade 9 - Grade 12,C
215,Andrews Elem,Plano ISD,"2520 Scenic Dr, Plano, TX 75025",Kindergarten - Grade 5,A
216,Andrews Elem,Gregory-Portland ISD,"4015 Moore Ave, Portland, TX 78374",Prekindergarten - Grade 5,B
217,Andrews Elem,Austin ISD,"6801 Northeast Dr, Austin, TX 78723",Prekindergarten - Grade 5,C
218,Andrews HS,Andrews ISD,"1400 NW Ave K, Andrews, TX 79714",Grade 9 - Grade 12,B
219,Andrews MS,Andrews ISD,"600 NW 3rd St, Andrews, TX 79714",Grade 6 - Grade 8,B
220,Andy Dekaney HS,Spring ISD,"22352 Imperial Vly Dr, Houston, TX 77073",Grade 9 - Grade 12,Not Rated
221,Angela Gerusa Leal Elem,San Benito CISD,"33356 FM 732, San Benito, TX 78586",Prekindergarten - Grade 5,B
222,Angleton HS,Angleton ISD,"1 Campus Dr, Angleton, TX 77515",Grade 9 - Grade 12,B
223,Angleton JH School,Angleton ISD,"1201 Henderson Rd, Angleton, TX 77515",Grade 6 - Grade 8,B
224,Anita Scott Elem,Royse City ISD,"1401 Erby Campbell Blvd, Royse City, TX 75189",Prekindergarten - Grade 5,A
225,Ann Brock Elem at Oak Grove,Burleson ISD,"12000 Oak Grove Rd, Fort Worth, TX 76028",Early Education - Grade 5,C
226,Ann M Garcia-Enriquez MS,San Elizario ISD,"12280 Socorro Rd, San Elizario, TX 79849",Grade 7 - Grade 8,B
227,Ann Richards MS,La Joya ISD,"7005 Ann Richards Rd, Mission, TX 78572",Grade 6 - Grade 8,A
228,Ann Richards STEAM Academy,Dallas ISD,"3831 N Prairie Creek, Dallas, TX 75227",Grade 6 - Grade 8,C
229,Ann Whitney Elem,Hamilton ISD,"400 S College, Hamilton, TX 76531",Early Education - Grade 5,C
230,Anna HS,Anna ISD,"1107 Rosamond Pkwy, Anna, TX 75409",Grade 9 - Grade 12,B
231,Anna ISD DAEP,Anna ISD,"201 E 7th St, Anna, TX 75409",Grade 6 - Grade 12,Not Rated
232,Anna MS,Anna ISD,"1201 N Powell Pkwy, Anna, TX 75409",Grade 6 - Grade 8,C
233,Anna May Daulton Elem,Mansfield ISD,"2607 N Grand Peninsula Dr, Grand Prairie, TX 75054",Kindergarten - Grade 4,A
234,Anne Frank Elem,Dallas ISD,"5201 Celestial Rd, Dallas, TX 75204",Early Education - Grade 5,B
235,Anne Frank Inspire Academy,Inspire Academies,"11216 Bandera Rd, San Antonio, TX 78249",Kindergarten - Grade 12,C
236,Anne L Magee Elem,Edinburg CISD,"3420 Rogers Rd, Edinburg, TX 78541",Prekindergarten - Grade 5,A
