,School Name,School District,Street Address,Grades Served,Overall Rating
2996,Goodrich MS,Goodrich ISD,"234 Katie Simpson, Goodrich, TX 77335",Grade 6 - Grade 8,C
2997,Goodson MS,Cypress-Fairbanks ISD,"17333 Huffmeister, Cypress, TX 77429",Grade 6 - Grade 8,A
2998,Goodwater Montessori School,Goodwater Montessori School,"710 Stadium Dr, Georgetown, TX 78626",Prekindergarten - Grade 8,B
2999,Goodwin Frazier Elem,Comal ISD,"1441 N Business 35, New Braunfels, TX 78130",Early Education - Grade 5,A
3000,Goose Creek Memorial,Goose Creek CISD,"6001 E Wallisville Rd, Baytown, TX 77521",Grade 9 - Grade 12,B
3001,Gordon School,Gordon ISD,"112 Rusk, Gordon, TX 76453",Prekindergarten - Grade 12,B
3002,Gorman HS,Gorman ISD,"114 W Lexington, Gorman, TX 76454",Grade 9 - Grade 12,B
3003,Gorman MS,Gorman ISD,"114 W Lexington, Gorman, TX 76454",Grade 6 - Grade 8,C
3004,Gorzycki MS,Austin ISD,"7412 Slaughter Ln, Austin, TX 78749",Grade 6 - Grade 8,A
3005,Goshen Creek Elem,Springtown ISD,"400 S Pojo Dr, Springtown, TX 76082",Kindergarten - Grade 4,B
3006,Govalle Elem,Austin ISD,"3601 Govalle Ave, Austin, TX 78702",Early Education - Grade 5,Not Rated
3007,Grace E Hardeman Elem,Birdville ISD,"6100 Whispering Ln, Watauga, TX 76148",Early Education - Grade 5,B
3008,Grace Hartman Elem,Rockwall ISD,"1325 Petaluma Dr, Rockwall, TX 75087",Prekindergarten - Grade 6,A
3009,Grace R Brandenburg Int,Duncanville ISD,"1903 Blueridge Dr, Duncanville, TX 75137",Grade 5 - Grade 6,B
3010,Graciela Garcia Elem,Pharr-San Juan-Alamo ISD,"1002 W Juan Balli, Pharr, TX 78577",Prekindergarten - Grade 5,A
3011,Graduation Prep Academy Navarro,Austin ISD,"1201 Payton Gin Rd, Austin, TX 78758",Grade 9 - Grade 12,B
3012,Graduation Preparatory Academy,Austin ISD,"1211 E Oltorf St, Austin, TX 78704",Grade 9 - Grade 12,B
3013,Grady Burnett JH,Wylie ISD,"516 Hilltop, Wylie, TX 75098",Grade 7 - Grade 8,A
3014,Grady School,Grady ISD,"3011 State Hwy 176, Lenorah, TX 79749",Prekindergarten - Grade 12,A
3015,Graford School,Graford ISD,"400 W Division, Graford, TX 76449",Prekindergarten - Grade 12,B
3016,Graham Elem,Austin ISD,"11211 Tom Adams Dr, Austin, TX 78753",Early Education - Grade 5,B
